Index,State,State Code,Division,Region
1,Alaska,AK,West,Pacific
2,Alabama,AL,South,East South Central
3,Arkansas,AR,South,West South Central
4,Arizona,AZ,West,Mountain
5,California,CA,West,Pacific
6,Colorado,CO,West,Mountain
7,Connecticut,CT,Northeast,New England
8,District of Columbia,DC,South,South Atlantic
9,Delaware,DE,South,South Atlantic
10,Florida,FL,South,South Atlantic
11,Georgia,GA,South,South Atlantic
12,Hawaii,HI,West,Pacific
13,Iowa,IA,Midwest,West North Central
14,Idaho,ID,West,Mountain
15,Illinois,IL,Midwest,East North Central
16,Indiana,IN,Midwest,East North Central
17,Kansas,KS,Midwest,West North Central
18,Kentucky,KY,South,East South Central
19,Louisiana,LA,South,West South Central
20,Massachusetts,MA,Northeast,New England
21,Maryland,MD,South,South Atlantic
22,Maine,ME,Northeast,New England
23,Michigan,MI,Midwest,East North Central
24,Minnesota,MN,Midwest,West North Central
25,Missouri,MO,Midwest,West North Central
26,Mississippi,MS,South,East South Central
27,Montana,MT,West,Mountain
28,North Carolina,NC,South,South Atlantic
29,North Dakota,ND,Midwest,West North Central
30,Nebraska,NE,Midwest,West North Central
31,New Hampshire,NH,Northeast,New England
32,New Jersey,NJ,Northeast,Middle Atlantic
33,New Mexico,NM,West,Mountain
34,Nevada,NV,West,Mountain
35,New York,NY,Northeast,Middle Atlantic
36,Ohio,OH,Midwest,East North Central
37,Oklahoma,OK,South,West South Central
38,Oregon,OR,West,Pacific
39,Pennsylvania,PA,Northeast,Middle Atlantic
40,Rhode Island,RI,Northeast,New England
41,South Carolina,SC,South,South Atlantic
42,South Dakota,SD,Midwest,West North Central
43,Tennessee,TN,South,East South Central
44,Texas,TX,South,West South Central
45,Utah,UT,West,Mountain
46,Virginia,VA,South,South Atlantic
47,Vermont,VT,Northeast,New England
48,Washington,WA,West,Pacific
49,Wisconsin,WI,Midwest,East North Central
50,West Virginia,WV,South,South Atlantic
51,Wyoming,WY,West,Mountain
